antecedent,consequent,support,confidence,lift
root vegetables,other vegetables,0.011657374556512924,0.2277227722772277,1.9159788047034978
sausage,rolls/buns,0.020780537252914344,0.3037037037037037,1.8130330027455595
frankfurter,rolls/buns,0.012671059300557527,0.30303030303030304,1.8090129739146381
root vegetables,whole milk,0.012164216928535226,0.23762376237623764,1.2705465668518072
newspapers,whole milk,0.012417638114546376,0.2024793388429752,1.0826334296400815
